State Name,Date Same Sex Marriage Legalized
Alabama,9-Feb-15
Alaska,17-Oct-14
Arizona,17-Oct-14
Arkansas,26-Jun-15
California,28-Jun-13
Colorado,7-Oct-14
Connecticut,12-Nov-08
Delaware,1-Jul-13
Florida,6-Jan-15
Georgia,26-Jun-15
Hawaii,2-Dec-13
Idaho,13-Oct-14
Illinois,1-Jun-14
Indiana,6-Oct-14
Iowa,24-Apr-09
Kansas,12-Nov-14
Kentucky,26-Jun-15
Louisiana,26-Jun-15
Maine,29-Dec-12
Maryland,1-Jan-13
Massachusetts,17-May-14
Michigan,26-Jun-15
Minnesota,1-Aug-13
Mississippi,26-Jun-15
Missouri,26-Jun-15
Montana,19-Nov-14
Nebraska,26-Jun-15
Nevada,9-Oct-14
New Hampshire,1-Jan-10
New Jersey,21-Oct-13
New Mexico,19-Dec-13
New York,24-Jul-11
North Carolina,10-Oct-14
North Dakota,26-Jun-15
Ohio,26-Jun-15
Oklahoma,6-Oct-14
Oregon,19-May-14
Pennsylvania,20-May-14
Rhode Island,1-Aug-13
South Carolina,20-Nov-14
South Dakota,26-Jun-15
Tennessee,26-Jun-15
Texas,26-Jun-15
Utah,6-Oct-14
Vermont,1-Sep-09
Virginia,6-Oct-14
Washington,9-Dec-12
West Virginia,9-Oct-14
Wisconsin,6-Oct-14
Wyoming,21-Oct-14
